Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Jun,69.09090909,-17.43333333,-61.6,-57.23333333,-53.53333333,21.33333333,27,Kingston upon Thames,937
Jul,99.125,-17.5483871,-37.67741935,-48.41935484,-48.41935484,16.38709677,21,Kingston upon Thames,1065
Aug,82.83333333,-21.67741935,-21.80645161,-46.80645161,-47.62068966,12.67741935,87,Kingston upon Thames,1014
Sep,101.8333333,-15.26666667,-24.33333333,-37.73333333,-40.31034483,11.5,173,Kingston upon Thames,1018
Oct,40.15384615,-13.77419355,-28.06451613,-40.48387097,-37.5483871,14.09677419,1061,Kingston upon Thames,956
Nov,54.72727273,-17.13333333,-55.8,-48.83333333,-45.56666667,18.33333333,1287,Kingston upon Thames,919
Dec,36.13333333,-11.19354839,-43.29032258,-50.90322581,-50.09677419,19.51612903,4218,Kingston upon Thames,849
Mar,-18.90322581,-3.677419355,-36.64516129,-38.58064516,-32.41935484,14.22580645,549,Lambeth,2512
Apr,-27.53333333,-31.66666667,-83.26666667,-83.2,-75.33333333,33.23333333,655,Lambeth,1889
May,24.19354839,-20.67741935,-78.25806452,-76.58064516,-66.67741935,27.80645161,117,Lambeth,2267
Jun,40.66666667,-14.93333333,-69.9,-68.43333333,-57.5,23.73333333,27,Lambeth,2493
Jul,45.51612903,-14.51612903,-52.41935484,-60.77419355,-51.74193548,17.80645161,71,Lambeth,2890
Aug,44.86956522,-19.35483871,-38,-55.19354839,-47.77419355,13.58064516,170,Lambeth,2961
Sep,36.82608696,-13.36666667,-34.63333333,-50.3,-42.03333333,12.9,449,Lambeth,2875
Oct,2.225806452,-14.09677419,-40.19354839,-51.67741935,-38.38709677,15.09677419,1735,Lambeth,2689
Nov,0.733333333,-13,-58.1,-61.46666667,-46.8,20.13333333,1887,Lambeth,2535
Dec,-8.774193548,-14.64516129,-55.80645161,-63.58064516,-48.70967742,20.32258065,7980,Lambeth,2192
Mar,17.4516129,2.548387097,-23.80645161,-30.22580645,-30.22580645,12.80645161,362,Lewisham,2105
Apr,42.13333333,-24.23333333,-68.46666667,-71.46666667,-73.23333333,30.6,673,Lewisham,2014
May,117.4193548,-10.06451613,-59.25806452,-63.06451613,-64.22580645,25.77419355,123,Lewisham,2270
Jun,114.3,-3.366666667,-47.23333333,-54.36666667,-55.33333333,21.96666667,31,Lewisham,2292
Jul,110.5806452,-3.483870968,-30.5483871,-46.61290323,-50.35483871,17.03225806,61,Lewisham,2504
